153 1526 151 2955 
146 172 150 2998 
1586 182 150 2961 
154 1265 150 2900 
155 1678 150 2957 
1100 180 150 2975 
151 1593 150 2974 
157 343 150 3168 
1826 183 150 3017 
1673 175 150 2988 
156 1234 150 2882 
2041 186 150 3024 
1070 190 151 2834 
1446 179 150 2921 
1693 177 150 3000 
1402 187 150 2973 
1877 190 150 3011 
142 1412 150 2957 
1117 175 150 2819 
1293 182 150 2948 
1196 176 150 2904 
145 1690 150 2994 
386 190 150 3168 
414 1282 149 2878 
145 1707 150 2989 
1483 177 150 2961 
151 183 150 3055 
1159 183 150 2940 
152 1785 150 960 
2071 169 149 3029 
155 1217 150 2867 
147 1001 150 2698 
154 1430 150 2927 
1996 189 150 2997 
1136 188 149 2975 
1251 170 150 2924 
156 1537 150 2974 
146 1347 150 2963 
156 1623 150 4095 
1187 173 150 2850 
1211 189 150 2944 
2065 171 150 3034 
1494 188 149 3011 
1414 171 150 2934 
155 1432 149 2928 
1221 186 151 2973 
1188 176 151 2849 
152 1293 150 2901 
1965 189 150 2989 
2042 182 149 3016 
156 1708 150 2976 
152 950 150 2756 
1485 186 150 2971 
620 182 152 3168 
149 1550 151 2966 
1777 169 150 3019 
148 1152 150 2639 
143 1029 150 2752 
3746 181 149 1252 
1425 190 150 2950 
1132 184 149 2776 
153 1240 150 2806 
2014 178 150 3014 
1616 170 150 2983 
155 189 150 3066 
1486 189 150 2977 
1994 183 150 3006 
1431 184 150 2921 
1191 189 150 2907 
1617 189 150 2998 
703 188 149 3168 
1201 173 150 2960 
143 1365 151 2929 
2044 184 150 3024 
144 957 150 2712 
147 1737 150 2977 
1781 184 151 3006 
